sample_ID,country,site,category,material,N_perc,C_perc,S_perc
CI_tb_01_soil_cal,CI,tb,ref,soil,0.1074,1.487,0.0224
CI_tb_02_soil_cal,CI,tb,ref,soil,0.1355,2.4558,0.0195
CI_tb_09_soil_cal,CI,tb,ref,soil,0.0459,0.745,0.0093
CI_tb_03_soil_cal,CI,tb,ref,soil,0.0812,1.3036,0.0101
CI_tb_04_soil_cal,CI,tb,ref,soil,0.135,1.6054,0.0139
CI_tb_05_soil_cal,CI,tb,ref,soil,0.0748,1.2648,0.0095
CI_tb_06_soil_cal,CI,tb,ref,soil,0.0976,1.221,0.0117
CI_tb_07_soil_cal,CI,tb,ref,soil,0.0725,1.163,0.01
CI_tb_08_soil_cal,CI,tb,ref,soil,0.1608,2.3734,0.0161
CI_tb_01_soil_cal,CI,tb,ref,soil,0.108,1.4352,0.0127
CI_tb_10_soil_cal,CI,tb,ref,soil,0.1914,2.3874,0.0177
CI_tb_11_soil_cal,CI,tb,ref,soil,0.0733,1.1159,0.0084
CI_tb_12_soil_cal,CI,tb,ref,soil,0.0563,0.8031,0.0096
CI_tb_13_soil_cal,CI,tb,ref,soil,0.1649,1.6947,0.0182
CI_tb_14_soil_cal,CI,tb,ref,soil,0.0547,0.7532,0.0087
CI_tb_15_soil_cal,CI,tb,ref,soil,0.1071,1.5834,0.0109
CI_tb_16_soil_cal,CI,tb,ref,soil,0.0453,0.7085,0.0072
CI_tb_01_soil_cal,CI,tb,ref,soil,0.1072,1.4454,0.0133
CI_tb_17_soil_cal,CI,tb,ref,soil,0.2481,2.4687,0.0242
CI_tb_18_soil_cal,CI,tb,ref,soil,0.1264,1.8226,0.0137
CI_tb_19_soil_cal,CI,tb,ref,soil,0.2127,2.0617,0.0212
CI_tb_20_soil_cal,CI,tb,ref,soil,0.0833,1.0795,0.0109
CI_tb_20_soil_cal,CI,tb,ref,soil,0.084,1.0822,0.0108
CI_tb_20_soil_cal,CI,tb,ref,soil,0.0835,1.0997,0.012
CI_sb_01_soil_cal,CI,sb,ref,soil,0.1987,1.9699,0.0253
CI_sb_02_soil_cal,CI,sb,ref,soil,0.1539,1.8157,0.0182
CI_sb_03_soil_cal,CI,sb,ref,soil,0.1129,1.2946,0.0154
CI_sb_04_soil_cal,CI,sb,ref,soil,0.1228,1.2999,0.0172
CI_sb_05_soil_cal,CI,sb,ref,soil,0.1064,1.2578,0.0147
CI_sb_06_soil_cal,CI,sb,ref,soil,0.1239,1.5181,0.0152
CI_sb_07_soil_cal,CI,sb,ref,soil,0.182,2.1919,0.0225
CI_sb_08_soil_cal,CI,sb,ref,soil,0.1561,1.8674,0.0222
CI_sb_01_soil_cal,CI,sb,ref,soil,0.1958,1.9403,0.0233
CI_sb_09_soil_cal,CI,sb,ref,soil,0.0707,0.781,0.011
CI_sb_10_soil_cal,CI,sb,ref,soil,0.0795,0.8201,0.0115
CI_sb_11_soil_cal,CI,sb,ref,soil,0.109,1.2752,0.016
CI_sb_12_soil_cal,CI,sb,ref,soil,0.0515,0.5691,0.009
CI_sb_13_soil_cal,CI,sb,ref,soil,0.0838,0.8996,0.012
CI_sb_14_soil_cal,CI,sb,ref,soil,0.0866,0.9778,0.0151
CI_sb_15_soil_cal,CI,sb,ref,soil,0.0762,0.7752,0.0105
CI_sb_16_soil_cal,CI,sb,ref,soil,0.0636,0.7065,0.0085
CI_sb_01_soil_cal,CI,sb,ref,soil,0.1971,1.9456,0.0239
CI_sb_17_soil_cal,CI,sb,ref,soil,0.1803,2.1174,0.0216
CI_sb_18_soil_cal,CI,sb,ref,soil,0.0662,0.6364,0.0116
CI_sb_19_soil_cal,CI,sb,ref,soil,0.09,0.8759,0.0121
CI_sb_20_soil_cal,CI,sb,ref,soil,0.0694,0.6716,0.0092
CI_sb_20_soil_cal,CI,sb,ref,soil,0.0667,0.6514,0.0099
CI_sb_20_soil_cal,CI,sb,ref,soil,0.0681,0.6849,0.0119
BF_lo_01_soil_cal,BF,lo,ref,soil,0.0446,0.695,0.0094
BF_lo_02_soil_cal,BF,lo,ref,soil,0.0447,0.5734,0.0087
BF_lo_03_soil_cal,BF,lo,ref,soil,0.0233,0.3413,0.0072
BF_lo_04_soil_cal,BF,lo,ref,soil,0.0423,0.5372,0.0073
BF_lo_05_soil_cal,BF,lo,ref,soil,0.0624,0.9032,0.007
BF_lo_06_soil_cal,BF,lo,ref,soil,0.0276,0.3577,0.0057
BF_lo_07_soil_cal,BF,lo,ref,soil,0.0355,0.4659,0.0056
BF_lo_08_soil_cal,BF,lo,ref,soil,0.0315,0.4259,0.0053
BF_lo_01_soil_cal,BF,lo,ref,soil,0.0437,0.7001,0.0058
BF_lo_09_soil_cal,BF,lo,ref,soil,0.0336,0.4305,0.0057
BF_lo_10_soil_cal,BF,lo,ref,soil,0.0262,0.2932,0.0042
BF_lo_11_soil_cal,BF,lo,ref,soil,0.0402,0.4429,0.0098
BF_lo_12_soil_cal,BF,lo,ref,soil,0.0361,0.4807,0.0091
BF_lo_13_soil_cal,BF,lo,ref,soil,0.0342,0.4391,0.0081
BF_lo_14_soil_cal,BF,lo,ref,soil,0.0307,0.3257,0.0062
BF_lo_15_soil_cal,BF,lo,ref,soil,0.0389,0.4287,0.006
BF_lo_16_soil_cal,BF,lo,ref,soil,0.0351,0.4666,0.006
BF_lo_01_soil_cal,BF,lo,ref,soil,0.043,0.682,0.0062
BF_lo_17_soil_cal,BF,lo,ref,soil,0.022,0.3137,0.0043
BF_lo_18_soil_cal,BF,lo,ref,soil,0.0275,0.352,0.005
BF_lo_19_soil_cal,BF,lo,ref,soil,0.0271,0.3419,0.006
BF_lo_20_soil_cal,BF,lo,ref,soil,0.0482,0.654,0.0072
BF_lo_20_soil_cal,BF,lo,ref,soil,0.0481,0.6447,0.0062
BF_lo_20_soil_cal,BF,lo,ref,soil,0.0489,0.6592,0.0076
BF_mo_01_soil_cal,BF,mo,ref,soil,0.0991,1.4467,0.0119
BF_mo_02_soil_cal,BF,mo,ref,soil,0.0408,0.5639,0.0085
BF_mo_03_soil_cal,BF,mo,ref,soil,0.0388,0.5283,0.0062
BF_mo_04_soil_cal,BF,mo,ref,soil,0.1136,1.6446,0.0126
BF_mo_05_soil_cal,BF,mo,ref,soil,0.0318,0.4577,0.0055
BF_mo_06_soil_cal,BF,mo,ref,soil,0.0246,0.3376,0.0054
BF_mo_07_soil_cal,BF,mo,ref,soil,0.0819,1.1443,0.0095
BF_mo_08_soil_cal,BF,mo,ref,soil,0.0627,0.8379,0.0065
BF_mo_01_soil_cal,BF,mo,ref,soil,0.1006,1.4545,0.0105
BF_mo_09_soil_cal,BF,mo,ref,soil,0.0372,0.5399,0.0051
BF_mo_10_soil_cal,BF,mo,ref,soil,0.0181,0.2404,0.0041
BF_mo_11_soil_cal,BF,mo,ref,soil,0.0318,0.5003,0.0051
BF_mo_12_soil_cal,BF,mo,ref,soil,0.0477,0.5909,0.0059
BF_mo_13_soil_cal,BF,mo,ref,soil,0.1239,1.8633,0.0126
BF_mo_14_soil_cal,BF,mo,ref,soil,0.0369,0.5305,0.0072
BF_mo_15_soil_cal,BF,mo,ref,soil,0.0352,0.4862,0.0052
BF_mo_16_soil_cal,BF,mo,ref,soil,0.0723,0.9191,0.0079
BF_mo_01_soil_cal,BF,mo,ref,soil,0.1019,1.451,0.0098
BF_mo_17_soil_cal,BF,mo,ref,soil,0.0342,0.4734,0.0055
BF_mo_18_soil_cal,BF,mo,ref,soil,0.0357,0.4812,0.0048
BF_mo_19_soil_cal,BF,mo,ref,soil,0.0531,0.7099,0.0076
BF_mo_20_soil_cal,BF,mo,ref,soil,0.0479,0.7117,0.0086
BF_mo_20_soil_cal,BF,mo,ref,soil,0.0482,0.7366,0.0065
BF_mo_20_soil_cal,BF,mo,ref,soil,0.0471,0.7038,0.0067
CI_sb_YAMS_0001,CI,sb_icraf,comp,soil,0.0845,0.8592,0.0128
CI_sb_YAMS_0002,CI,sb_icraf,comp,soil,0.0518,0.5175,0.0083
CI_sb_YAMS_0003,CI,sb_icraf,comp,soil,0.0491,0.5562,0.0077
CI_sb_YAMS_0004,CI,sb_icraf,comp,soil,0.113,1.2088,0.0152
CI_sb_YAMS_0005,CI,sb_icraf,comp,soil,0.1002,0.9512,0.0133
CI_sb_YAMS_0006,CI,sb_icraf,comp,soil,0.1011,1.0011,0.0153
CI_sb_YAMS_0007,CI,sb_icraf,comp,soil,0.1283,1.4711,0.0194
CI_sb_YAMS_0008,CI,sb_icraf,comp,soil,0.1271,1.1439,0.0176
CI_sb_YAMS_0009,CI,sb_icraf,comp,soil,0.1048,1.0064,0.0128
CI_sb_YAMS_0010,CI,sb_icraf,comp,soil,0.1271,1.3035,0.016
CI_sb_YAMS_0011,CI,sb_icraf,comp,soil,0.1385,1.8286,0.0181
CI_sb_YAMS_0012,CI,sb_icraf,comp,soil,0.0967,0.9009,0.0186
CI_sb_YAMS_0013,CI,sb_icraf,comp,soil,0.0934,0.9584,0.0157
CI_sb_YAMS_0014,CI,sb_icraf,comp,soil,0.1039,0.99,0.015
