sample_ID,sand,clay,silt
BF_lo_01_soil_cal,79.75,9.18,11.07
BF_lo_02_soil_cal,70.75,10.18,19.07
BF_lo_03_soil_cal,77.90,8.10,14.00
BF_lo_04_soil_cal,73.75,8.65,17.60
BF_lo_05_soil_cal,67.75,12.25,20.00
BF_lo_06_soil_cal,77.28,8.50,14.22
BF_lo_07_soil_cal,70.88,10.25,18.87
BF_lo_08_soil_cal,67.82,10.18,22.00
BF_lo_09_soil_cal,71.82,9.38,18.80
BF_lo_10_soil_cal,75.82,8.18,16.00
BF_lo_11_soil_cal,66.90,10.25,22.86
BF_lo_12_soil_cal,71.90,10.18,17.93
BF_lo_13_soil_cal,71.75,10.25,18.00
BF_lo_14_soil_cal,72.82,8.65,18.53
BF_lo_15_soil_cal,73.75,9.85,16.40
BF_lo_16_soil_cal,64.75,11.32,23.93
BF_lo_17_soil_cal,74.75,8.65,16.60
BF_lo_18_soil_cal,65.35,10.65,24.00
BF_lo_19_soil_cal,75.97,9.10,14.93
BF_lo_20_soil_cal,64.11,12.10,23.78
BF_mo_01_soil_cal,34.44,21.10,44.46
BF_mo_02_soil_cal,76.04,10.10,13.86
BF_mo_03_soil_cal,82.04,8.10,9.86
BF_mo_04_soil_cal,47.11,26.10,26.78
BF_mo_05_soil_cal,73.97,9.10,16.93
BF_mo_06_soil_cal,82.04,7.10,10.86
BF_mo_07_soil_cal,29.82,16.10,54.07
BF_mo_08_soil_cal,79.97,8.10,11.93
BF_mo_09_soil_cal,42.82,14.10,43.07
BF_mo_10_soil_cal,86.30,6.10,7.60
BF_mo_11_soil_cal,73.10,10.10,16.80
BF_mo_12_soil_cal,85.90,6.10,8.00
BF_mo_13_soil_cal,62.75,13.18,24.07
BF_mo_14_soil_cal,85.75,6.32,7.93
BF_mo_15_soil_cal,85.61,6.39,8.00
BF_mo_16_soil_cal,77.61,8.46,13.93
BF_mo_17_soil_cal,79.82,7.52,12.66
BF_mo_18_soil_cal,81.90,6.72,11.38
BF_mo_19_soil_cal,81.82,8.32,9.86
BF_mo_20_soil_cal,72.97,10.32,16.71
CI_tb_01_soil_cal,70.97,14.54,14.50
CI_tb_02_soil_cal,57.97,24.54,17.50
CI_tb_03_soil_cal,83.82,8.54,7.64
CI_tb_04_soil_cal,77.97,12.46,9.57
CI_tb_05_soil_cal,77.97,13.46,8.57
CI_tb_06_soil_cal,81.97,9.66,8.37
CI_tb_07_soil_cal,75.75,16.54,7.71
CI_tb_08_soil_cal,67.61,21.54,10.86
CI_tb_09_soil_cal,91.61,4.54,3.86
CI_tb_10_soil_cal,69.61,15.54,14.86
CI_tb_11_soil_cal,81.68,7.54,10.78
CI_tb_12_soil_cal,83.61,6.54,9.86
CI_tb_13_soil_cal,67.61,18.54,13.86
CI_tb_14_soil_cal,82.75,8.54,8.71
CI_tb_15_soil_cal,77.61,6.54,15.86
CI_tb_16_soil_cal,85.68,6.75,7.57
CI_tb_17_soil_cal,71.18,15.82,13.00
CI_tb_18_soil_cal,75.46,12.82,11.71
CI_tb_19_soil_cal,67.68,23.82,8.50
CI_tb_20_soil_cal,75.54,16.82,7.64
CI_sb_01_soil_cal,66.61,18.82,14.57
CI_sb_02_soil_cal,74.68,11.75,13.57
CI_sb_03_soil_cal,80.54,13.62,5.84
CI_sb_04_soil_cal,69.46,22.75,7.78
CI_sb_05_soil_cal,77.46,16.75,5.78
CI_sb_06_soil_cal,75.32,18.75,5.93
CI_sb_07_soil_cal,74.11,17.09,8.80
CI_sb_08_soil_cal,71.97,19.89,8.14
CI_sb_09_soil_cal,87.32,6.82,5.86
CI_sb_10_soil_cal,79.68,14.03,6.29
CI_sb_11_soil_cal,81.75,8.10,10.14
CI_sb_12_soil_cal,85.82,6.10,8.07
CI_sb_13_soil_cal,81.90,8.10,10.00
CI_sb_14_soil_cal,77.90,16.03,6.07
CI_sb_15_soil_cal,77.97,10.03,12.00
CI_sb_16_soil_cal,87.75,6.10,6.14
CI_sb_17_soil_cal,72.68,16.10,11.22
CI_sb_18_soil_cal,73.75,13.10,13.14
CI_sb_19_soil_cal,79.61,9.10,11.29
CI_sb_20_soil_cal,79.75,8.18,12.07